Şirket Adı,TB / Ö,NFB / Ö,TK / Ö,FAVÖK / İDAFG,KVB / Ö,Cari Oran,Asit Test Oran,N / KVB,FAVÖK Marjı,BK / H,VÖK / H,NDK / Ö,NDK / TK,VÖK / Fgid,İTTA / TTA,İTTB / TTB,MDV / Ö,SM / Stok,H / TA,H / TV,H / Ö,H / MDV,Class
2022 - ALCATEL TELEKOM,0.8560,0.1568,1.8560,22.5865,0.6864,2.4835,1.8382,1.0186,0.1645,0.2146,0.1535,0.0723,0.0389,13.9486,0.0882,0.7241,0.0086,1.4105,1.4641,0.4286,0.7955,92.3391,0
2022 - ATAKULE,0.0245,0.0052,1.0245,6.8715,0.0144,2.8590,2.8590,1.3470,0.0491,0.3824,0.0719,0.0034,0.0033,5.7639,0.0028,0.0000,0.0046,0.0000,4.6007,0.0463,0.0475,10.2391,0
2022 - AZTEK TEKNOLOJİ,1.7079,1.6344,2.7079,5.6063,1.6570,1.5484,0.9633,0.0444,0.1257,0.1503,0.1101,0.2839,0.1049,-4.4911,0.0000,0.0000,0.0733,2.9238,2.2792,1.2320,3.3361,45.5415,0
2022 - BAGFAS BANDIRMA,3.1906,2.3563,4.1906,13.3887,2.2841,1.0528,0.5790,0.3653,0.2948,0.3351,0.1769,0.2509,0.0599,1.5000,0.0003,0.0031,1.1258,1.1514,5.0539,0.4472,1.8741,1.6647,0
2022 - BAREM AMBALAJ,1.1178,0.9530,2.1178,8.1473,0.9400,1.6085,1.1082,0.1753,0.2586,0.2774,0.2211,0.2915,0.1376,5.8986,0.0000,0.0000,0.6024,2.4253,1.9628,0.7454,1.5785,2.6203,0
2022 - BERKOSAN YATIRIM,1.7244,1.5888,2.7244,6.8219,1.4611,1.3102,0.9757,0.0928,0.1208,0.2842,0.0760,0.1472,0.0540,1.6961,0.0000,0.0000,0.7432,3.4668,2.8517,0.8687,2.3668,3.1847,0
2022 - BİLKOM BİLİŞİM,7.4521,6.0422,8.4521,3.6506,7.4361,1.1232,0.6805,0.1896,0.0403,0.0430,0.0279,0.3227,0.0382,1.7196,0.1092,0.1034,0.0174,4.1870,4.3153,1.7040,14.4027,826.9986,0
2022 - BİOTREND ÇEVRE,3.0386,2.8958,4.0386,5.7346,1.0899,1.2470,1.0750,0.1310,0.2849,0.2927,0.0936,0.0423,0.0105,0.2738,0.0000,0.0000,2.1459,3.8711,3.6935,0.2541,1.0261,0.4782,0
2022 - BİRKO BİRLEŞİK,0.8786,0.8761,1.8786,-4457.7236,0.7732,0.8025,0.5753,0.0031,-0.0930,0.0711,-0.7439,0.1022,0.0544,-1.0501,0.3128,0.0806,0.9338,1.1347,1.5195,0.1142,0.2146,0.2298,0
2022 - ÇALIK DENİM,2.2791,2.2336,3.2791,4.0081,1.7204,1.2418,0.6742,0.0264,0.3580,0.3305,0.1786,0.5428,0.1655,9.9295,0.0145,0.1405,0.5666,0.9202,1.5450,0.4093,1.3423,2.3689,0
2022 ÇELEBİ HAVA,1.8308,1.3744,2.8308,5.6674,0.8320,1.2521,1.2280,0.5486,0.2383,0.3364,0.2112,0.1804,0.0637,3.4453,0.0057,0.0213,0.4606,36.3449,4.1844,0.3882,1.0989,2.3859,0
2022 CEO EVENT,0.5664,0.2189,1.5664,301.5362,0.5446,2.6969,2.6969,0.6382,0.0968,0.1032,0.2193,0.1794,0.1145,352.2910,0.0020,0.0002,0.0223,0.0000,1.5738,0.4734,0.7415,33.2522,0
2022 CONSUS ENERJİ,1.0199,0.9702,2.0199,1.4610,0.3878,0.9457,0.7458,0.1282,0.1802,0.2482,0.1638,0.0396,0.0196,1.2090,0.2225,0.0000,1.5910,3.2637,5.8686,0.1666,0.3366,0.2116,0
2022 COSMOS YATIRIM,0.3679,0.3059,1.3679,216.9910,0.2015,3.8265,1.1783,0.3077,0.1580,0.1570,0.1596,0.1022,0.0747,56.9027,0.0000,0.0000,0.5707,0.9141,4.7608,0.4230,0.5786,1.0138,0
2022 DAP GAYRİMENKUL,2.6470,2.5041,3.6470,42.7220,0.5825,1.5531,1.5000,0.2453,0.4028,0.4932,0.4036,0.3212,0.0881,26.6125,0.0000,0.0000,0.0071,16.4977,429.7807,0.2762,1.0073,142.1942,0
2022 dardanel onentass,1.2316,1.2223,2.2316,4.9512,1.0979,1.0887,0.7540,0.0085,0.1307,0.3035,0.0299,0.0377,0.0169,0.2960,0.3124,0.0000,1.0141,2.3261,1.8592,0.5501,1.2276,1.2106,0
2022 DENGE YATIRIM,0.7324,0.5116,1.7324,58.6934,0.2888,1.2350,1.2058,0.7645,4.0281,0.3044,3.9658,0.4075,0.2352,42.9630,0.0082,0.0000,0.0284,9.6968,2.0649,0.0677,0.1173,4.1327,0
2022 DOĞAN TREND,4.8783,3.3750,5.8783,2.5547,4.6743,0.9557,0.7652,0.3216,0.1829,0.2481,0.1113,0.5631,0.0958,1.5547,0.0036,0.0056,1.1428,3.8236,5.2193,0.7702,4.5275,3.9618,0
2022 DOĞUŞ OTOMOTİV SERVİS,1.3261,0.9703,2.3261,11.9449,1.2499,1.3768,0.7972,0.2847,0.2069,0.2112,0.1857,0.4625,0.1988,867.5756,0.6777,0.0528,0.2096,3.4245,6.0241,1.3520,3.1449,15.0009,0
2022 DURAN DOĞAN,5.5666,5.3672,6.5666,6.8497,4.2909,1.0802,0.5925,0.0465,0.2413,0.3894,0.1097,0.4275,0.0651,0.8339,0.0000,0.0316,0.7213,1.5161,2.5806,0.7914,5.1966,7.2041,0
2022 ELİTE NATUREL,0.6231,0.5473,1.6231,75.7128,0.5127,2.6230,2.0211,0.1478,0.2784,0.6844,0.2414,0.2193,0.1351,2.9392,0.7396,0.0000,0.2695,1.1692,1.3594,0.7044,1.1433,4.2428,0
2022 EMEK ELEKTRİK,1.5280,1.4933,2.5280,3.4472,1.2100,1.3164,0.8950,0.0287,0.0947,0.2574,0.0446,0.0401,0.0159,0.8457,0.2275,0.0314,0.8714,1.2059,1.5078,0.3276,0.8281,0.9504,0
"2022 EREĞLİ TEKSTİL,",1.3986,1.3466,2.3986,3.8843,1.2418,1.1864,0.6011,0.0418,0.2346,0.3468,0.1761,0.1742,0.0726,2.9319,0.0761,0.0326,0.7719,1.0959,3.2642,0.5084,1.2194,1.5797,0
2022 EUROPAP TEZOL KAĞIT,0.8910,0.4936,1.8910,8.5385,0.5857,2.3164,1.5259,0.6785,0.2356,0.3248,0.2641,0.2824,0.1493,2.4462,0.0004,0.0000,0.2744,1.4223,2.5967,0.5158,0.9753,3.5544,0
2022 FADE GIDA,0.3394,0.2886,1.3394,75.5166,0.1662,1.8781,1.2331,0.3054,2.2683,0.0300,2.2421,0.3292,0.2458,60.6720,0.0000,0.0412,0.1526,1.3358,2.5059,0.1371,0.1836,1.2033,0
2022 Fasdat Gıda,2.6168,2.5059,3.6168,6.3737,2.3857,1.2919,0.9095,0.0465,0.0593,0.0720,0.0499,0.1697,0.0469,5.2801,0.7980,0.0716,0.3964,4.4922,2.2709,1.2210,4.4161,11.1394,0
2022 FRİGO PAK,0.6598,0.6061,1.6598,1.3139,0.4985,2.0523,0.7659,0.1078,0.3851,0.3820,0.1279,0.0783,0.0472,0.2842,0.0000,0.0000,0.6010,0.6450,8.5542,0.4032,0.6692,1.1135,0
2022 GERSAN ELEKTRİK,1.4373,1.2220,2.4373,673.2332,1.1170,1.2892,0.7771,0.1928,0.1502,0.2247,0.0396,0.0478,0.0196,1.2831,0.0016,0.0000,0.8435,1.7263,2.3236,0.5226,1.2738,1.5101,0
2022 GLOBAL MENKUL,7.1108,5.5480,8.1108,1.5994,6.9487,1.1303,1.1303,0.2249,0.0055,0.0163,0.0027,0.1179,0.0145,0.7470,0.0202,0.0001,0.0829,0.0000,10.1808,7.4243,60.2170,726.2815,0
2022 GLOBAL YATIRIM,5.1783,4.5967,6.1783,2.1807,1.3619,1.0587,1.0208,0.4270,0.1792,0.0486,0.0591,0.0238,0.0039,0.3684,0.0000,0.0000,1.1309,13.0143,2.9917,0.1431,0.8842,0.7818,0
2022 GSD Denizcilik,0.4143,-0.0404,1.4143,19.1494,0.1417,4.2420,4.2239,3.2091,0.8021,0.6319,0.7586,0.1404,0.0993,17.4382,1.0000,0.0134,0.8088,24.4914,119.0816,0.1208,0.1708,0.2112,0
2022 gsd holding,0.3919,0.2009,1.3919,16.3782,0.2658,2.8273,2.8200,0.7184,1.2779,0.9070,1.2305,0.1358,0.0976,25.9151,0.0000,0.0000,0.5295,2.1929,2.8263,0.0872,0.1214,0.2293,0
2022 GÜLER YATIRIM,1.1003,0.9245,2.1003,7.8228,0.9611,1.3835,1.3597,0.1829,4.4755,5.0721,3.7684,0.1847,0.0879,4.4694,0.0048,0.0000,0.5722,1.4265,1.2895,0.0305,0.0641,0.1121,0
2022 GÜR-SEL TURİZM,1.0151,0.8026,2.0151,4.0756,0.6078,1.3818,1.3748,0.3496,0.1402,0.1247,0.1104,0.0971,0.0482,3.2073,0.0463,0.0002,0.9566,218.7974,2.5271,0.5318,1.0716,1.1202,0
2022 Hedef araç kiralama,2.3223,2.1996,3.3223,1.8461,1.0938,0.3091,0.2898,0.1121,0.3963,0.4768,0.1753,0.1223,0.0368,0.6934,0.5842,0.0000,2.9724,21.6867,7.9740,0.2629,0.8736,0.2939,0
2022 Hidropar hareket,1.8437,1.6307,2.8437,1.7441,1.6445,1.1818,0.6107,0.1295,0.1311,0.2998,0.0914,0.0637,0.0224,0.8858,0.0000,0.0993,0.6200,0.6451,1.8935,0.3042,0.8652,1.3955,0
2022 HÜRRİYET GAZETECİLİK,0.7971,0.7794,1.7971,-5.9804,0.6062,0.6222,0.5480,0.0292,-0.4542,-0.1048,-0.5170,-0.1619,-0.0901,-8.2358,0.5509,0.0498,1.0044,7.2264,1.6404,0.1637,0.2943,0.2930,0
2022 İHLAS EV ALETLERİ,0.2961,0.2788,1.2961,2135.6078,0.2018,4.0345,2.6993,0.0861,0.1015,0.1341,0.1018,0.0750,0.0578,19.7282,0.3146,0.1025,0.0331,2.8833,1.8767,0.6921,0.8970,27.1149,0
2022 İhlas GAYRİM,0.3582,0.1674,1.3582,8.5989,0.3064,3.9668,3.5289,0.6227,0.0920,0.2859,0.1581,0.0533,0.0393,14.7523,0.0286,0.7685,0.0021,1.8046,0.8845,0.2497,0.3392,162.7850,0
2022 İHLAS HOLDİNG,0.6708,0.4647,1.6708,5.4317,0.3104,3.9785,2.6883,0.6638,0.0881,0.2578,0.1112,0.0404,0.0242,5.5524,0.0045,0.0089,0.1836,0.7807,1.0475,0.2522,0.4213,2.2949,0
2022 İHLAS YAYIN,0.1992,0.0354,1.1992,-6.9626,0.0919,7.4039,6.2633,1.7815,-0.0682,0.0978,0.0459,0.0084,0.0070,1.3852,0.1300,0.1661,0.1208,1.8683,1.5194,0.1811,0.2172,1.7975,0
2022 İZ Yatırım Holding,0.3972,0.2834,1.3972,-1.1382,0.2884,1.2752,0.7740,0.3944,-0.0620,0.0358,-0.1039,-0.0272,-0.0195,-1.8596,0.0000,0.0000,0.9347,2.2520,6.8221,0.2245,0.3137,0.3356,0
2022 İZMİR FIRÇA,2.0452,2.0251,3.0452,5.4049,1.7368,1.4364,0.8379,0.0116,0.1428,0.2711,0.0349,0.0491,0.0161,0.3197,0.0117,0.0020,0.5008,1.3125,1.3945,0.6146,1.8717,3.7377,0
2022 Kaplamin Ambalaj,2.9322,2.8443,3.9322,14.4500,2.8610,1.1610,0.8761,0.0307,0.1618,0.2356,0.1500,0.4265,0.1085,12.6786,0.0401,0.7420,0.5912,3.4808,1.7762,0.9439,3.7116,6.2784,0
2022 KLİMASAN KLİMA,4.1290,3.6883,5.1290,46.0727,3.1287,1.1826,0.8428,0.1408,0.1324,0.2112,0.0600,0.0712,0.0139,0.2091,0.0793,0.0031,0.6245,1.5350,1.3908,0.4034,2.0689,3.3127,0
2022 KOLEKSİYON MOBİLYA,0.8335,0.7812,1.8335,1.1221,0.4928,0.8228,0.4461,0.1061,0.2272,0.5140,0.0501,0.0205,0.0112,0.2467,0.0086,0.0029,0.7423,0.8861,3.4965,0.1847,0.3386,0.4561,0
2022 Koray Gyrimenkul Yatırım ortak,4.0091,3.7772,5.0091,-59.7403,0.1571,2.2836,2.2835,1.4761,-0.2355,0.1564,-0.1809,-0.0786,-0.0157,-270.6677,0.0000,0.3578,0.0148,16283.9173,6.4375,0.0829,0.4154,28.0153,0
2022 KORTEKS MENSUCAT,1.5942,1.5828,2.5942,0.7752,1.3242,1.3614,1.2102,0.0086,0.1087,0.1827,0.2315,0.1358,0.0523,0.4384,0.2482,0.1291,0.6700,2.1991,4.1835,0.2077,0.5387,0.8041,0
2022 KÜTAHYA PORSELEN,0.9853,0.9643,1.9853,13.0660,0.8609,1.5580,0.8487,0.0244,0.1732,0.4249,0.1607,0.1908,0.0961,10.4322,0.0731,0.0191,0.5069,1.2349,2.1318,0.6604,1.3110,2.5861,0
2022 LÜKS KADİFE TİCARET,1.2044,0.8568,2.2044,9.4481,0.5251,1.8979,1.3808,0.6620,0.3983,0.3895,0.1094,0.0725,0.0329,0.3659,0.1449,0.0113,0.6334,1.4260,2.2308,0.2877,0.6342,1.0012,0
2022 MARKA YATIRIM,3.8393,3.7856,4.8393,74.4518,3.6970,0.9103,0.8499,0.0145,0.6302,0.1975,0.5827,0.1531,0.0316,11.8128,0.0603,0.0252,0.3918,1.5499,0.3174,0.0890,0.4309,1.0998,0
2022 MATRİKS BİLGİ,0.6165,0.3696,1.6165,15319.1621,0.4925,1.2171,1.2171,0.5014,0.2539,0.2953,0.2634,0.4527,0.2800,347.6976,0.0000,0.0000,0.0717,0.0000,6.8492,1.0631,1.7185,23.9814,0
2022 Mavi Giyim,1.9349,0.9839,2.9349,4.4466,1.6790,1.2743,0.8960,0.5664,0.2234,0.5599,0.1910,0.3506,0.1195,31.1566,0.0000,0.1708,0.0157,1.4220,6.9053,0.6994,2.0527,130.3550,0
2022 MEGA POLİETİLEN,2.4066,2.3490,3.4066,3.1098,2.2087,1.2654,0.9671,0.0261,0.1222,0.1370,0.0847,0.1404,0.0412,2.1550,0.0000,0.0000,0.5928,2.1367,1.0923,0.4788,1.6310,2.7513,0
2022 MEPET METRO,0.6216,0.6114,1.6216,4.6913,0.4805,0.3561,0.2847,0.0212,0.0355,0.0502,0.0371,0.0469,0.0289,2.9996,0.7707,0.0327,1.3871,42.1696,13.8101,0.9397,1.5239,1.0986,0
2022 MOBİLTEL İLETİŞİM,0.7335,0.7131,1.7335,4.4437,0.5391,1.0488,0.8282,0.0378,0.0890,0.1059,0.0702,0.0839,0.0484,3.5037,0.0081,0.0000,0.0220,6.8006,2.1605,0.5219,0.9047,41.1650,0
2022 NET HOLDİNG,0.7295,0.6504,1.7295,1.9135,0.2349,0.5504,0.5042,0.3365,0.2262,0.4186,0.1557,-0.0186,-0.0108,0.2254,0.0000,0.0000,1.0918,6.4931,6.0016,0.0700,0.1210,0.1108,0
2022 NETAŞ TELEKOMÜN,117.4668,96.7162,118.4668,-2.9729,113.8857,0.7985,0.7113,0.1822,-0.0150,0.1021,-0.0201,-0.6265,-0.0053,-0.3041,0.0145,0.3284,3.7933,4.5409,1.3632,0.4242,50.2525,13.2478,0
2022 NUH ÇİMENTO,0.9259,0.6825,1.9259,17.2348,0.6559,1.6532,1.1630,0.3712,0.2511,0.2806,0.2506,0.2286,0.1187,4.6048,0.0004,0.0000,0.3684,2.5377,4.0232,0.5889,1.1342,3.0791,0
2022 NUROL HOLDİNG,3.5893,3.1936,4.5893,3.5188,2.1315,1.0433,0.8775,0.1856,0.9035,0.4958,0.5042,0.3193,0.0696,0.8210,0.0104,0.0005,0.7139,1.1364,4.1173,0.1492,0.6849,0.9594,0
2022 NUROL İNŞAAT,2.2058,2.1181,3.2058,5.8066,0.3932,1.7371,1.2742,0.2231,1.4247,0.1064,0.6678,0.2929,0.0914,0.7950,0.0153,0.0023,0.0635,2.0636,3.8347,0.1311,0.4204,6.6251,0
2022 Osmanlı Yatırım Menkul değerler,2.7575,1.6457,3.7575,4.7318,2.6523,1.2802,1.2802,0.4192,0.0000,0.0000,0.0000,0.2967,0.0790,3.9861,0.0000,0.0617,0.2407,0.0000,0.0000,0.0000,0.0000,0.0000,0
2022 OSTİM ENDÜSTRİEL,0.4202,0.1250,1.4202,19.9908,0.2117,2.9308,2.4369,1.3946,0.3322,0.4244,0.3692,0.0981,0.0691,4.8559,0.2903,0.0165,0.2173,1.8957,2.2602,0.2425,0.3444,1.5844,0
2022 OYAK ÇİMENTO,0.8378,0.6358,1.8378,15.8103,0.6852,1.7249,1.1579,0.2948,0.2482,0.2796,0.2292,0.2309,0.1256,9.2768,0.1034,0.2510,0.5690,2.2842,2.4194,0.6704,1.2320,2.1650,0
2022 PARK ELEKTRİKmler (1),0.1560,0.1546,1.1560,1886.5282,0.0948,1.1109,1.0720,0.0146,2.2720,0.4475,3.8888,0.2136,0.1848,761.9919,0.3389,0.0184,0.1261,10.0120,4.5224,0.0577,0.0667,0.5290,0
2022 PC İLETİŞİM,3.0340,2.5048,4.0340,9.3743,2.6975,1.1669,1.1669,0.1962,0.0752,0.0819,0.0726,0.2661,0.0660,8.3989,0.0251,0.0000,0.0136,0.0000,1.9249,1.0812,4.3614,320.7980,0
2022 PEKER GAYRİM,0.1432,-0.0274,1.1432,14.0859,0.1426,2.4421,1.9237,1.1959,0.9815,0.4034,0.9025,0.0897,0.0785,-11.0753,0.0000,0.0000,0.0106,0.8030,1.4279,0.0871,0.0995,9.4102,0
2022 PENGUEN GIDA,0.6453,0.5738,1.6453,4.9747,0.5503,1.2965,0.5438,0.1298,0.2630,0.4034,0.1377,0.0410,0.0249,0.9578,0.0000,0.0000,0.8759,0.5600,4.9193,0.2363,0.3888,0.4439,0
2022 Pera Gayrmenkuk,0.0362,0.0222,1.0362,-16.4364,0.0331,3.0508,1.1195,0.4235,-0.1807,0.2790,-0.1774,-0.0082,-0.0079,-13.3417,0.0000,0.2920,0.0000,0.5219,2.1908,0.0446,0.0463,0.0000,0
2022 QUA Granite,2.0862,1.9451,3.0862,269.5024,1.2647,1.5861,1.2933,0.1116,0.5093,0.5008,0.3280,0.3469,0.1124,1.7262,0.3639,0.1709,0.8319,1.4358,1.1260,0.3451,1.0650,1.2802,0
2022 RAL YATIRIM,1.0174,0.9944,2.0174,29.8062,0.8112,1.8081,1.8036,0.0283,0.5435,0.5519,0.5206,0.4249,0.2106,20.8103,0.9172,0.4351,0.0934,128.8256,2.6069,0.5140,1.0370,11.1013,0
2022 RTA LABORATUVAR,0.2687,0.2141,1.2687,42.4787,0.2208,3.0564,2.7653,0.2470,1.7161,0.4743,1.6055,0.2237,0.1763,32.3677,0.0804,0.0000,0.1072,1.2725,1.0825,0.1226,0.1556,1.4509,0
2022 SAN-EL MÜH,2.2949,2.2861,3.2949,14.4618,2.1317,0.7514,0.6320,0.0041,0.1094,0.0390,0.1018,0.0271,0.0082,13.4650,0.0000,0.0000,0.9918,4.3589,1.3353,0.3505,1.1548,1.1644,0
2022 sarkuysan elektrolitik,2.5492,2.3007,3.5492,17.4564,2.1187,1.4772,1.0766,0.1173,0.0801,0.0747,0.0609,0.3130,0.0882,1.6617,0.0030,0.0000,0.2953,7.1765,3.6129,1.8549,6.5832,22.2927,0
2022 SARTEN AMBALj,3.4690,3.3377,4.4690,17.2361,2.8689,1.2578,0.7651,0.0457,0.2124,0.2621,0.1756,0.4825,0.1080,4.7300,0.0882,0.1975,0.6448,1.2530,1.4370,0.5370,2.4000,3.7223,0
2022 SEKURO PLASTİK,2.8014,2.6591,3.8014,94.4956,2.0104,0.9982,0.6405,0.0708,0.0942,0.1460,0.0334,-0.0054,-0.0014,0.1756,0.0000,0.0000,1.7903,1.9446,1.5483,0.4307,1.6372,0.9145,0
2022 SERVET GAYRİ,0.6000,0.5990,1.6000,-97.3320,0.3078,0.2337,0.2337,0.0032,-1.6666,0.5734,-1.4616,-0.0891,-0.0557,-5.8624,0.2198,0.0008,0.0013,0.0000,1.3958,0.0369,0.0591,44.6403,0
2022 SİNPAŞ GAYRİMENKUL,1.3370,1.3269,2.3370,22.9516,0.2840,2.7787,1.5874,0.0356,1.0500,0.1246,0.4541,0.0456,0.0195,0.7510,0.2601,0.0173,0.0031,0.2600,1.8802,0.0430,0.1005,32.1357,0
2022 Smartiks Yazılım,0.3235,0.2720,1.3235,1.7554,0.2577,1.1118,1.1118,0.1998,0.0954,0.7271,0.0396,0.0580,0.0438,0.5434,0.0000,0.0000,0.0011,0.0000,1.1772,0.1897,0.2510,222.1262,0
2022 SÖKTAŞ TEKSTİL,2.5108,2.4092,3.5108,2.4589,1.8414,0.5673,0.2795,0.0552,0.1885,0.4801,-0.0614,-0.0652,-0.0186,-0.2323,0.0217,0.2660,1.8295,1.0958,3.1575,0.2287,0.8031,0.4390,0
2022 Tarkim Bitki koruma,1.5631,1.4492,2.5631,5.0924,1.5317,1.2073,0.2684,0.0744,0.4230,0.4726,0.3399,0.6425,0.2507,4.0924,0.6828,0.0390,0.2769,0.4169,4.9804,0.4435,1.1368,4.1049,0
2022 TERA YATIRIM,2.2177,1.5411,3.2177,5.7375,2.2091,1.3882,1.3882,0.3063,0.0408,0.0714,0.0668,0.2885,0.0897,1.6422,0.0005,0.0002,0.1047,0.0000,5.3052,1.4420,4.6400,44.3066,0
2022 TORUNLAR GAYRİMENKUL,0.3539,0.3249,1.3539,3.0425,0.1881,0.4511,0.4329,0.1540,0.7565,0.8052,0.2697,0.0214,0.0158,0.5303,0.1290,0.0442,0.0505,4.5265,5.2405,0.0587,0.0794,1.5733,0
2022 TÜRK TÜBORG,1.3909,0.8374,2.3909,2.7429,1.3482,1.3433,0.9735,0.4106,0.0305,0.4869,0.2539,0.1662,0.0695,4.9201,0.0000,0.0000,0.4301,0.8931,1.4194,0.3630,0.8678,2.0178,0
2022 ÜNLÜ YATIRIM,0.6128,0.3992,1.6128,8.6390,0.5017,2.5323,2.5323,0.4257,0.0000,0.0000,0.0000,0.1246,0.0773,1.0288,0.0097,0.0000,0.0169,0.0000,0.0000,0.0000,0.0000,0.0000,0
2022 VESTEL ELEKTRONİK,3.4737,3.3639,4.4737,0.7337,3.2898,0.6758,0.3391,0.0334,0.0234,0.2807,0.0524,0.1179,0.0264,0.3039,0.0014,0.0003,0.7135,1.2602,2.7273,0.4338,1.9407,2.7201,0
2022 YATAŞ YATAK,1.6891,1.5395,2.6891,5.9510,1.4029,1.3404,0.6684,0.1066,0.1238,0.3244,0.0998,0.1747,0.0650,3.5924,0.0000,0.0049,0.6335,1.6151,6.4827,0.8382,2.2539,3.5578,0
2022 YEO TEKNOLOJİ,2.8268,1.9643,3.8268,8.7462,2.5251,1.3546,1.3216,0.3415,0.1784,0.1971,0.1181,0.1990,0.0520,1.9582,0.0833,0.0028,0.3472,19.6728,4.7722,0.5347,2.0460,5.8930,0
2022 DÖKTAŞ DÖKÜM,3.3324,3.2249,4.3324,1.4723,2.1198,0.7983,0.4008,0.0507,0.0491,0.1071,0.0053,0.0999,0.0231,0.0976,0.0000,0.2467,2.3534,2.4299,4.5739,0.5292,2.2927,0.9742,0
2022 DYO BOYA,3.5040,3.0720,4.5040,4.6126,3.2192,1.0351,0.7572,0.1342,0.1648,0.3040,0.1241,0.2578,0.0572,2.3095,0.0281,0.2175,1.1287,1.9011,1.3005,0.5426,2.4437,2.1650,0
2022 E-DATA,0.5730,0.4517,1.5730,130.9846,0.5532,2.6125,2.0075,0.2193,0.2403,0.1805,0.2995,0.2173,0.1382,9.0065,0.0001,0.0000,0.1088,2.0260,2.0562,0.5260,0.8275,7.6043,0
2022 EGE ENDÜSTRİ,0.5013,0.4273,1.5013,19.8205,0.4191,2.4398,1.5794,0.1765,0.5505,0.4290,0.5594,0.3501,0.2332,12.2511,0.1713,0.0045,0.0791,1.1090,1.7229,0.4665,0.7004,8.8536,0
2022 ERBOSAN ERCİYES,0.7183,0.4497,1.7183,84.2690,0.6997,2.1583,1.1649,0.3839,0.2892,0.3101,0.2515,0.2900,0.1688,2.6056,0.0017,0.0000,0.1952,1.3933,3.2823,0.8170,1.4038,7.1911,0
2022 ERCİYAS ÇELİK,1.4268,1.3459,2.9598,7.5908,1.4268,1.1295,0.8950,0.0567,0.2241,0.1571,0.0625,0.0307,0.0104,0.2699,0.1266,0.0083,1.1789,2.4950,2.9366,0.3345,0.9901,0.8398,0
2022 EREĞLİ DEMİR,0.5686,0.4500,1.5686,1118.1113,0.3397,2.3486,0.9133,0.3491,0.2963,0.3127,0.2922,0.1260,0.0803,15.2774,0.0282,0.0216,0.6451,0.8887,4.0987,0.4019,0.6304,0.9771,0
2022 ESCAR FİLO,2.1478,1.6566,3.1478,3.7612,0.9141,1.8324,1.3936,0.5374,1.0891,0.7377,0.7780,0.2723,0.0865,2.0343,0.0000,0.0000,1.4568,0.2644,9.5704,0.1284,0.4043,0.2775,0
2022 ETİLER GIDA,0.6805,0.3972,1.6805,105.5703,0.4647,2.8401,2.7060,0.6097,0.2438,0.2993,0.2377,0.2240,0.1333,6.2448,0.0000,0.0000,0.2766,10.0717,1.3427,0.5333,0.8962,3.2399,0
2023 YATAŞ YATAK,2.3861,2.2015,3.3861,158.7710,2.0668,1.2423,0.7613,0.0893,0.1280,0.3283,0.0849,0.1849,0.0546,1.7410,0.0000,0.0000,0.6647,1.8506,4.2988,0.8090,2.7395,4.1214,0
2023 ZEDUR ENERJİ,0.6650,0.6550,1.6650,2.2244,0.1154,0.6589,0.5965,0.0866,0.2799,0.3054,-0.1521,0.0108,0.0065,-0.3495,0.2392,0.0000,1.4271,6.3367,1.4535,0.0394,0.0657,0.0460,0
