ŞİRKETLER ,TY/TÖ,NFB/TÖ,TKVY/TÖ,T.DÖN.V/ TKVY,T.DÖN.V-Stok/ TKVY,NAKİT/ TKVY,DK(Z)/ TÖ,İTTA/TA,İTTB/TB,MDV/TÖ,SFVÖK-EFK/MDV,SFVÖK-EFK/TV,DK(Z)/MDV,EFK/H,EFDG/H,SFVÖK/EFK,EFK/TV,DK(Z)/TK,NetDönKarı*/MDV*,SFDK(Z)/TÖ,FAVÖK/T.DuranV,Class
2022 ACISELSAN,0.4012,0.1526,0.3449,2.6713,1.8545,0.7208,0.2899,0,0,0.1621,0.0482,0.0056,1.7887,0.2578,0.0022,1.0214,0.2609,0.2069,0.2096,0.2899,0.7979,1
2022 ADEL KALEM,0.6567,0.0564,6.2133,0.1007,-0.2848,0.0966,0.0748,0.0533,0.0311,0.8778,-0.0184,-0.0021,0.0852,0.0115,0.0348,0.4124,0.0036,0.0099,-20.4824,0.0748,0.2476,1
2022 ADESE GAYRİMENKUL,0.1592,-0.0066,0.042,5.0515,5.0515,3.9457,0.023,0.1861,0.6456,0.0015,9.8651,0.0126,15.5144,0.3821,0.0722,2.7206,0.0073,0.0199,0.1168,0.023,0.0136,1
2022 ALARKO CARRIER,1.3741,1.0987,1.1742,1.8212,1.3285,0.2345,0.2718,0.0502,0.276,0.0654,-0.5849,-0.0161,4.1556,0.2039,-0.0074,0.8798,0.134,0.1145,3.4615,0.2718,1.5754,1
2022 ALARKO GAYRİMENKUL,0.0325,0.0315,0.0081,21.7908,21.6621,0.1244,0.055,0.9337,0.2581,0.0035,-0.0014,0,15.7818,4.6839,-0.1033,0.9999,0.0534,0.0532,-0.012,0.055,0.0645,1
2022 ALKİM ALKALİ,0.6508,0.1626,0.5606,2.3294,1.5265,0.8708,0.3732,0.0003,0,0.2844,0.0318,0.0055,1.3121,-0.5642,0.0993,1.0196,0.2794,0.2261,6.5404,0.3732,1.3827,1
2022 ALKİM KAĞIT,0.7583,-0.0811,0.7258,2.3142,1.7282,1.1566,0.5099,0,1,0.05,0.3296,0.0094,10.204,0.3942,-0.0757,1.0264,0.3551,0.29,2.9204,0.5099,8.2971,1
2022 ALTIN YUNUS,0.2424,0.2149,0.0789,0.681,0.6397,0.3487,0.0108,0.03,0.2119,1.156,-0.0018,-0.0017,0.0093,0.3095,0.8284,0.8423,0.0107,0.0087,-20.2606,0.0108,0.011,1
2022 ARÇELİK,3.7457,3.1334,2.9627,1.1576,0.7664,0.2067,0.0661,0.015,0.1199,0.6634,-0.1781,-0.0249,0.0996,0.0776,-0.0469,0.3848,0.0405,0.0139,-2.2116,0.0661,0.1438,1
2022 ATP TİCARİ,0.4442,-0.0346,0.3916,2.9125,2.8603,1.2225,0.145,0.3903,0.0283,0.015,3.2819,0.034,9.683,0.1825,0.082,1.488,0.0697,0.1004,-0.1502,0.145,0.3374,1
2022 AVRASYA GAYRİMENKUL,0.0439,0.0431,0.0432,2.8173,2.619,0.018,0.0084,0.9767,0.4522,0.0147,-0.0018,0,0.5686,-18.0053,4.7177,0.9969,0.0081,0.008,-1.6175,0.0084,0.0091,1
2022 AVRASYA PETROL,0.0986,0.0401,0.0141,5.7226,5.7226,4.1639,0.0422,0.6894,0.0214,0.2265,0.0198,0.0041,0.1863,1.9437,1.9233,1.1184,0.0345,0.0384,-4.713,0.0422,0.0373,1
2022 AYGAZ,1.9784,1.6061,1.4526,1.1029,0.6996,0.2563,0.3226,0.0253,0.1275,0.2216,1.497,0.1114,1.4558,-0.0024,0.0573,-32.8774,-0.0033,0.1083,7.3088,0.3226,0.2575,1
2022 BATISÖKE,9.9223,9.9143,4.6782,0.6913,0.3823,0.0017,-1.1502,0.379,0.0726,5.1504,-0.3466,-0.2001,-0.2233,0.1908,0.0407,-2.0854,0.0648,-0.1289,12.2477,-1.1502,0.0569,1
2022 BİRLİK MENSUCAT,-2.8273,-2.8248,-1.6434,0.305,0.2845,0.0015,0.4265,0,0.4716,-0.0136,-8.0662,-0.0599,-31.4055,-1.4923,0.0694,1.3456,-0.1735,-0.2334,-0.2103,0.4265,-0.239,1
2022 BİZİM TOPTAN,10.0296,8.7546,9.1762,0.9122,0.3,0.1389,0.2491,0.028,0.1045,1.3967,-0.1516,-0.0192,0.1783,0.0302,-0.0305,0.6343,0.0525,0.0226,-0.3877,0.2491,0.2608,1
2022 BMS BİRLEŞİK,0.8379,0.7552,0.6764,1.4454,0.8271,0.1223,0.3045,0,0.0005,0.7987,-0.0282,-0.0123,0.3813,0.3501,0.1801,0.9371,0.1949,0.1657,3.3755,0.3045,0.415,1
2022 BMS ÇELİK,0.4492,0.1521,0.3846,2.7013,1.6357,0.7724,0.1821,0.0026,0.0069,0.3586,0.0139,0.0034,0.508,0.1063,0.0032,1.0226,0.1521,0.1257,3.3885,0.1821,0.5372,1
2022 BOĞAZİÇİ BETON,0.7053,0.6043,0.6011,1.1382,1.0494,0.1681,0.0974,0,0.013,0.9834,0.0133,0.0077,0.099,0.0799,0.0448,1.1398,0.0547,0.0571,-84.2597,0.0974,0.1027,1
2022 BORUSAN,1.34,1.2817,1.0828,1.0237,0.4852,0.0538,0.2241,0.058,0.0295,1.1286,-0.0185,-0.0089,0.1986,0.3178,0.2339,0.918,0.109,0.0958,48.6803,0.2241,0.2158,1
2022 BOSCH FREN,1.2635,0.9262,0.9044,2.0217,1.7184,0.373,0.5205,0.1082,0.207,0.3381,0.1533,0.0229,1.5395,0.1512,0.0162,1.1127,0.2031,0.2299,0.3755,0.5205,1.0568,1
2022 CASA EMTİA,0.4317,0.4317,0.0375,22.774,22.774,0.0019,0.1703,0,0,0.0221,-5.4065,-0.0834,7.7145,0.0902,0.0008,0.6694,0.2522,0.119,14.7892,0.1703,0.4179,1
2022 ÇEMAŞ DÖKÜM,0.1225,-0.167,0.1032,5.3742,4.7175,2.8038,0.1653,0,0.0148,0.287,0.3858,0.0986,0.5761,0.2083,-0.0132,2.8849,0.0523,0.1473,-0.775,0.1653,0.1727,1
2022 ÇEMTAŞ ÇELİK,0.3643,0.2863,0.345,3.1205,1.5701,0.2261,0.3514,0,0.0055,0.2191,0.0244,0.0039,1.6035,0.372,0.01,1.0121,0.3253,0.2575,0.3853,0.3514,1.5946,1
2022 DAGİ GİYİM,1.4072,1.3485,1.1339,1.1345,0.6208,0.0518,0.0732,0.445,0,0.8337,-0.0339,-0.0117,0.0878,0.1679,0.0183,0.7306,0.0436,0.0304,1.2104,0.0732,0.1294,1
2022 DATAGATE,2.1192,2.0652,2.1053,1.4454,0.9762,0.0257,0.1075,0.0016,0.3981,0.0004,-206.1896,-0.0275,258.3944,0.0617,0.0392,0.621,0.0726,0.0345,0.6494,0.1075,2.968,1
2022 DEMİSAŞ DÖKÜM,3.3246,2.9971,2.8857,1.1434,0.8692,0.1135,0.1212,0,0.0482,0.9391,-0.129,-0.028,0.1291,0.0697,0.0089,0.5041,0.0565,0.028,-1.3575,0.1212,0.2386,1
2022 DOĞAN BURDA,2.0294,0.788,1.5332,1.7223,1.6714,0.8097,0.1595,0.0053,0.0852,0.0789,-0.0842,-0.0022,2.0222,0.095,0.0235,0.9675,0.0674,0.0526,-0.2439,0.1595,0.5272,1
2022 DOĞUSAN BORU,0.3103,0.232,0.2273,1.9927,0.5531,0.3442,0.1544,0,0,0.79,0.0127,0.0076,0.1955,0.5596,0.5413,1.0737,0.1035,0.1179,37.7113,0.1544,0.1585,1
2022 EDİP GAYRİMENKUL,4.4895,4.4406,0.2175,1.4663,1.465,0.2246,-0.6408,0.0005,0.002,0.0212,-39.3575,-0.2388,-30.2667,0.5157,0.0641,-6.4281,0.0321,-0.1836,0.022,-0.6408,0.0423,1
2022 EGE PROFİL,1.6065,1.4325,1.445,1.3324,1.0022,0.1204,0.2352,0.2315,0.0343,0.6424,0.0368,0.0091,0.3661,0.1759,0.0953,1.0888,0.1023,0.0902,0.8448,0.2352,0.417,1
2022 EGE SERAMİK,1.2272,1.0273,1.1236,1.5716,1.15,0.1779,0.4201,0.6101,0,0.3827,0.0329,0.0057,1.0977,0.2949,0.0881,1.0273,0.2073,0.1886,0.3315,0.4201,0.9927,1
2022 EMLAK KONUT,1.2061,0.8622,1.0497,1.7764,0.586,0.3276,0.1369,0,0.649,0.0703,-0.1232,-0.0039,1.946,0.5481,0.0495,0.9405,0.0659,0.062,0.1151,0.1369,0.4306,1
2022 ENEJİSA ENERJİ,3.3927,3.2122,2.6946,0.9224,0.8766,0.067,0.2171,0.0012,0.2552,0.2528,-0.5758,-0.0331,0.8589,0.1141,0.0207,0.6462,0.0937,0.0494,-0.0622,0.2171,0.2157,1
2022 ENKA İNŞAAT,0.3419,0.1454,0.252,2.2778,2.0838,0.7801,-0.018,0,0,0.1469,-0.6093,-0.0667,-0.1223,0.3329,0.1088,-0.2254,0.0544,-0.0134,-3.8302,-0.018,-0.0316,1
2022 ENSARİ GIDA,1.3909,1.0497,1.137,1.2548,0.7502,0.3001,0.0591,0.1709,0,0.2641,-0.6043,-0.0668,0.2237,0.2896,0.0473,0.2931,0.0944,0.0247,-9.8617,0.0591,0.2559,1
2022 ERSAN ALIŞVERİŞ,1.5585,0.9519,1.1947,1.3975,0.6664,0.5078,0.0528,0,0.0081,0.3741,0.0201,0.0029,0.1412,0.0234,0.047,1.144,0.0204,0.0206,1.4934,0.0528,0.0604,1
2022 ERSU MEYVE,0.3593,0.3557,0.235,1.8955,0.4926,0.0154,0.1105,1.017,0.6324,0.9137,-0.0053,-0.0036,0.121,0.4878,0.4857,0.9531,0.0762,0.0813,139.0065,0.1105,0.1134,1
2022 FORMET METAL,1.0139,0.9915,0.8408,1.4569,0.9413,0.0266,-0.039,0,0,0.6857,-0.0751,-0.0256,-0.0569,0.0293,0.0139,-2.8188,0.0067,-0.0194,-3.7872,-0.039,0.0657,1
2022 GEDİZ AMBALAJ,0.4252,0.2363,0.399,2.5941,2.0362,0.4736,0.2248,0,0.0012,0.311,-0.0329,-0.0072,0.7229,0.3565,0.0121,0.9619,0.1886,0.1578,-0.3396,0.2248,0.7233,1
2022 GİRİŞİM ELEKTRİK,1.5167,1.3606,1.2667,1.623,1.3634,0.1232,0.2021,0.1217,0.0019,0.4011,-0.1665,-0.0265,0.5038,0.2662,0.1083,0.7908,0.1269,0.0803,-5.2028,0.2021,0.6917,1
2022 GİRİŞİM HOLDİNG,1.5082,1.353,1.2597,1.623,1.3634,0.1232,0.2065,0.1217,0.0019,0.4044,-0.1642,-0.0265,0.5106,0.2709,0.1037,0.7945,0.1288,0.0823,0.0055,0.2065,0.6954,1
2022 GÖLTAŞ GÖLLER,2.1939,2.1657,1.4921,1.0251,0.8146,0.0189,0.3465,0.1161,0.0012,0.7834,0.0458,0.0112,0.4424,0.1908,0.0643,1.1145,0.0981,0.1085,-83.2824,0.3465,0.3184,1
2022 HUN YENİLENEBİLİR,1.1639,1.1265,0.1778,0.48,0.457,0.21,0.0953,0.2496,0.1598,0.9984,0.0391,0.018,0.0955,0.5074,0.2567,1.7354,0.0245,0.044,-1.7301,0.0953,0.0479,1
2022 IŞIKLAR ENERJİ,0.3633,0.3039,0.3218,1.6931,0.931,0.1844,0.1174,0.0107,0.0002,0.4386,-0.0397,-0.0128,0.2676,0.1858,0.0655,0.8559,0.0886,0.0861,-5.2076,0.1174,0.1215,1
2022 İHLAS GAZATECİLİK,0.1087,0.0484,0.0491,11.7027,9.2247,1.2269,0.0258,0.0522,0.3323,0.0919,0.2183,0.0181,0.2809,0.0276,0.0227,5.345,0.0042,0.0233,-2.3999,0.0258,0.0118,1
2022 KALEKİM KİMYEVİ,1.476,0.9337,1.263,1.2569,0.8206,0.4294,0.2117,0.0504,0.0006,0.8777,-0.0082,-0.0029,0.2411,0.2162,0.2006,0.972,0.1033,0.0855,-27.2521,0.2117,0.3131,1
2022 KARDEMİR KARABÜK,1.476,0.9337,1.263,1.2569,0.8206,0.4294,0.2117,0.0504,0.0006,0.8777,-0.0082,-0.0029,0.2411,0.2162,0.2006,0.972,0.1033,0.0855,-27.2521,0.2117,0.3131,1
2022 KOÇ HOLDİNG,7.0768,6.3248,5.9938,0.8166,0.7321,0.1255,0.251,0.0685,0.0412,0.3766,-0.1305,-0.0061,0.6664,0.1756,0.0477,0.8551,0.042,0.0311,2.8612,0.251,0.1079,1
2022 KÜTAHYA ŞEKER,0.3382,0.267,0.1624,2.9796,2.6596,0.4383,0.1736,0,0,0.5,0.0901,0.0337,0.3473,0.5184,0.0041,1.2813,0.1197,0.1298,197.6214,0.1736,0.2138,1
EFOR ÇAY,1.1651,1.1348,0.9742,1.1142,0.4679,0.0311,0.0656,0,0,0.7271,-0.0693,-0.0233,0.0902,0.0883,0.0096,0.4087,0.0394,0.0303,-4.0409,0.0656,0.0833,1
EKİZ KİMYA ,0.1061,0.106,0.1032,0.3749,0.3749,0.0008,0.505,0,0,0.0021,245.9207,0.4601,244.0524,-0.0051,0.0003,-218.097,-0.0021,0.4566,-0.6254,0.505,0.5043,1
EKSUN GIDA ,1.0944,0.6529,1.0529,1.6948,1.1364,0.4194,-0.1359,0.0034,0.2006,0.2139,-0.5926,-0.0605,-0.6352,-0.0047,-0.0134,13.4858,-0.0048,-0.0649,3.4658,-0.1359,0,1
ELITE NATUREL,0.2879,0.2638,0.2879,3.0873,2.2177,0.0835,0.2348,0.8609,0,0.4679,0.0031,0.0029,0.5019,0.3803,0.0305,1.0056,0.526,0.1693,9.5818,0.2348,0.526,1
ETİLER GIDA ,1.356,1.2859,1.1578,1.2282,1.0956,0.0605,-0.0548,0.0001,0.0001,0.4946,-0.4414,-0.0927,-0.1107,0.1388,-0.0113,-0.0037,0.0923,-0.0232,-11.0792,-0.0548,0.2329,1
EURO KAPİTAL,0.0608,-0.0689,0.0228,39.6103,39.6103,5.6849,-0.0394,0,0,0.0985,-1.9225,-0.1785,-0.4004,0.3668,0.0173,-0.2631,0.1413,-0.0372,21.5636,-0.0394,0.9528,1
EURO MENKUL,0.0553,-0.0657,0.0239,37.9361,37.9361,5.0605,0.0118,0,0,0.09,-2.0394,-0.174,0.1309,0.4458,0.0577,0.0603,0.1851,0.0112,-2.2716,0.0118,1.3169,1
EURO TREND,0.0882,-0.0401,0.0356,0.0082,0.0082,3.6051,-0.02,0.0708,0,0.0213,-9.1602,-0.1792,-0.9373,0.3859,0.0337,-0.114,0.1608,-0.0183,-0.3804,-0.02,1.5448,1
EUROPOWER ENERJİ ,0.4182,0.3524,0.3176,2.6444,1.8271,0.2071,0.2399,0.0697,0.0808,0.5076,-0.0489,-0.0175,0.4726,0.5043,0.2991,0.916,0.2084,0.1692,1.2444,0.2399,0.5534,1
FORTE BİLGİ İLETİŞİM,0.6761,0.4834,0.5959,1.8895,1.4367,0.3234,-0.1274,0,0,0.1213,-0.8048,-0.0582,-1.0501,-0.0558,0.1255,3.0378,-0.0286,-0.076,-11.3809,-0.1274,-0.0721,1
FRİGO PAK GIDA,0.3209,0.3007,0.2157,3.5567,2.1658,0.0933,0.1043,0,0,0.5412,2.2259,0.9121,0.1928,0.327,0.0457,9.9773,0.1016,0.079,-20.6485,0.1043,0.2424,1
GEDİZ AMBALAJ,0.3179,0.1724,0.1792,3.5477,2.2976,0.8118,0.0096,0,0.0008,0.5048,-0.1586,-0.0607,0.0189,0.207,0.013,0.1317,0.0699,0.0073,-63.2584,0.0096,0.1342,1
GEZİNOMİ,2.0416,1.9564,1.6479,1.2298,1.2181,0.0517,-0.0541,0.1883,0.0843,0.0812,-0.1397,-0.0037,-0.666,0.009,0.0122,-0.469,0.0025,-0.0178,-1.5764,-0.0541,0.0071,1
GIPTA OFİS,0.3802,0.0055,0.3046,3.1029,2.3797,1.2301,0.0076,0.0029,0.0508,0.4349,-0.0406,-0.0128,0.0174,0.153,-0.4245,0.4845,0.0248,0.0338,-73.8521,0.0076,0.1473,1
GIRISIM ELEKTRİK ,0.6619,0.598,0.5516,2.0298,1.6417,0.1158,0.1948,0.1387,0.0101,0.4804,-0.0008,-0.0002,0.4055,0.4123,0.0848,0.9982,0.1299,0.1172,3.934,0.1948,0.3983,1
GÜNDOĞDU GIDA ,1.8469,1.6641,1.6667,1.2721,0.8115,0.1097,0.0725,0.1304,0.0154,0.7076,-0.0533,-0.0132,0.1025,0.0508,0.0015,0.7881,0.0625,0.0255,-3.4742,0.0725,0.2405,1
HEDEF GİRİŞİM,0.0046,0.0044,0.0026,38.1434,38.1434,0.0715,-0.1474,0,0.1116,0.0076,-29.6181,-0.2233,-19.4572,0.9867,0.091,-1.9149,0.0766,-0.1467,-0.0322,-0.1474,0.0851,1
HEDEF HOLDİNG,0.1192,0.1184,0.0091,1.0323,1.0323,0.0916,-0.2452,0.9982,0.116,0.0082,-35.7464,-0.2617,-29.9251,-0.3048,-0.3048,-39.126,0.0065,-0.2191,-0.0364,-0.2452,-0.0323,1
HUN YENİLENEBİLİR ENERJİ,0.9357,0.9172,0.3139,0.4164,0.3872,0.059,-0.019,1,0.4385,0.8623,-0.0603,-0.0269,-0.022,0.378,0.0157,-0.3702,0.0196,-0.0098,-23.4944,-0.019,0.024,1
ICU GİRİŞİM ,0.1468,0.1037,0.1467,4.016,4.016,0.2939,-0.0491,0,0,0.0138,-2.9163,-0.0352,-3.5518,-0.0504,0.0356,5.602,-0.0076,-0.0428,-0.0191,-0.0491,-0.0224,1
IHLAS EV ALETLERİ,0.425,0.4041,0.2027,3.8589,2.4275,0.1031,-0.0444,0.4094,0.0347,0.0588,-1.4727,-0.0607,-0.755,0.05,0.0188,-0.6889,0.0359,-0.0311,16.7409,-0.0444,0.0494,1
IHLAS GAYRİMENKUL,1.4369,1.3639,0.5928,3.3558,1.5923,0.1231,-0.1535,0.1483,0.245,0.0217,-7.2159,-0.0644,-7.0635,0.1006,0.192,-5.699,0.0096,-0.063,-118.3038,-0.1535,0.0524,1
IHLAS GAZETECİLİK,0.3459,0.338,0.1794,2.1288,1.7494,0.0442,-0.0613,0.1116,0.1701,0.2056,-0.191,-0.0292,-0.2981,-0.0616,0.0292,2.9154,-0.0152,-0.0455,-10.2148,-0.0613,-0.0261,1
IHLAS HABER AJANS ,0.5224,0.4749,0.3354,2.7998,2.7998,0.1416,-0.2216,0.1751,0.0117,0.3447,-0.2229,-0.0505,-0.6428,-0.252,0.0366,1.4776,-0.1056,-0.1455,2.6538,-0.2216,-0.2642,1
IHLAS HOLDİNG,0.858,0.8366,0.2362,4.8308,1.4577,0.0907,-0.1187,0.0233,0.0066,0.3313,0.2022,0.036,-0.3583,-0.3548,0.0552,0.5621,-0.0823,-0.0639,-342.5215,-0.1187,-0.2115,1
IHLAS YAYIN,0.6179,0.604,0.2019,1.9492,1.6367,0.069,0,0.0881,0.2034,0.3003,-0.1188,-0.022,0,-0.1706,0.0485,1.487,-0.0453,0,-30.4675,-0.1066,-0.0591,1
IZ YATIRIM HOLDİNG,0.6226,0.615,0.0306,7.1173,6.6859,0.2502,-0.0001,0,0,0.1253,0.1712,0.0132,-0.0007,-0.009,0.1004,-16.9476,-0.0007,-0.0001,-10.0638,-0.0001,0.0228,1
İZDEMİR ENERJİ,0.0804,0.0785,0.0415,3.9522,1.375,0.045,-0.0833,0.0616,0.2223,0.891,-0.075,-0.0619,-0.0934,-0.0402,0.0026,7.9031,-0.009,-0.0771,-2.0297,-0.0833,-0.0081,1
İZMİR FIRÇA,0.6944,0.6866,0.5584,1.9371,1.282,0.0139,0.0201,0.0053,0,0.5725,-0.2059,-0.0696,0.0351,0.1677,0.0236,0.2801,0.0967,0.0119,81.4644,0.0201,0.2673,1
JANTSA JANT,0.4536,0.3616,0.3395,1.5208,0.9016,0.2711,0.0137,0.0928,0.0188,0.7715,-0.0847,-0.045,0.0178,0.1495,0.0681,0.2533,0.0602,0.0094,-18.1512,0.0137,0.0921,1
KARSU TEKSTİL,1.0633,0.9505,0.7591,1.388,0.8618,0.1487,-0.0778,0,0.0104,0.9943,-0.0952,-0.0459,-0.0782,0.0789,0.0742,-0.7532,0.0262,-0.0377,274.2609,-0.0778,0.0535,1
KARTONSAN KARTON ,0.5127,0.4875,0.4645,1.2107,0.5072,0.0542,-0.1633,0.0434,0.001,0.7748,-0.0414,-0.0337,-0.2108,-0.2368,-0.0348,1.1835,-0.1839,-0.1079,9.1371,-0.1633,-0.1787,1
KATMERCİLER ARAÇ,0.5,0.4871,0.2696,4.9752,2.0765,0.0476,0.0367,0,0,0.1188,0.1376,0.0109,0.309,0.2793,0.1362,1.2889,0.0377,0.0245,3.3189,0.0367,0.5336,1
KERVANSARAY YATIRIM,8.1146,8.1081,6.7029,0.0146,0.0146,0.001,-0.1726,0,0,0.004,172.3541,0.0754,-43.2618,-118.6949,124.6772,-0.3938,-0.0541,-0.0189,-0.9146,-0.1726,-0.0467,1
KIRAÇ GALVANİZ,0.749,0.6926,0.452,2.071,1.7048,0.1247,0.2007,0.4223,0,0.5594,0.2302,0.0736,0.3587,0.2692,0.0579,1.7879,0.0935,0.1147,3.5299,0.2007,0.1899,1
KONYA KAĞIT SANAYİ,0.1038,0.0577,0.0537,5.2537,3.3419,0.8584,0.0119,0.0273,0.0342,0.3016,-0.0296,-0.0081,0.0395,0.1263,0.0023,0.7196,0.0289,0.0108,-18.3903,0.0119,0.0525,1
